Protein_name,aromaticity,instability_index,isoelectric_point,gravy,molecular_weight,mol_weight,num_h_donors,num_h_acceptors,tpsa,logp,num_rotatable_bonds,MaxEStateIndex,MinEStateIndex,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA14,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,TPSA,EState_VSA1,EState_VSA10,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState7,VSA_EState8,VSA_EState9,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_ether,Binding_affinity
pdb8v9q.ent,0.09,45.38782,8.174220467,-0.4172,57382.1683,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-7.06
pdb8v9q.ent,0.091314031,44.96371938,8.797500801,-0.442761693,52145.3884,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-6.61
pdb8sfy.ent,0.087677725,30.55971564,6.537359428,-0.098578199,47183.2095,574.366,11,19,309.84,-8.3026,9,12.21890479,-5.886253981,44.05555556,574.366,542.11,574.118718,216,0.861111111,1.5,2.111111111,3.055525205,1.546915006,723.5528683,26.99927104,18.45636767,20.45636767,16.65350342,10.73081892,14.07473585,8.4048342,11.84115329,5.78189322,8.907158822,3.867565033,6.463068116,0.1,41785932.71,30.63878108,12.09103866,7.186870793,204.1016972,203.819624,83.25771717,16.34043675,10.21669833,74.24625136,19.75852033,15.10361181,143.1229022,22.8318516,6.420821623,309.84,97.37963042,55.31933817,18.6749143,14.5802533,23.4629234,45.2772329,80.67692563,-17.94348998,-1.772023168,-11.64601323,36,11,19,19,11,21,9,-8.3026,110.1037,8,8,2,-8.21
pdb8p0q.ent,0.10177706,48.3077706,5.800782967,-0.188691438,70557.8419,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-7.47
pdb8p0q.ent,0.102106969,48.67554295,5.800782967,-0.182495948,70342.6354,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-7.18
pdb8p0o.ent,0.101286174,47.74487138,5.802999687,-0.181832797,70785.1021,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-8.4
pdb8p0o.ent,0.101449275,47.94236715,5.802999687,-0.189371981,70671.9445,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-8.56
pdb8og4.ent,0.117066291,44.04135402,6.45909214,-0.18899859,81277.427,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-6.44
pdb8og4.ent,0.118476728,43.76970381,6.564414787,-0.180112835,81295.4868,412.225,8,14,230.69,-6.1268,6,11.41150846,-5.557601927,39.56,412.225,390.049,412.0658946,152,1.12,1.76,2.32,2.708668567,1.930886079,452.7920023,18.99119935,12.70437218,14.70437218,11.39446595,7.210788729,10.59367097,5.614326824,8.864184507,3.672337021,6.299250508,2.537019115,4.491726317,0.3,181258.6831,21.59839957,8.12284233,5.88870225,142.3080839,141.7135416,58.46440908,16.34043675,10.21669833,43.54035908,13.15163837,15.10361181,90.27742995,13.57124149,6.420821623,230.69,60.06685617,35.10634439,14.15116714,14.52368616,13.32945637,49.4838389,41.54735296,-7.787285584,-0.702921012,-10.98155274,25,8,14,14,8,16,6,-6.1268,77.4703,4,4,1,-6.52
pdb8k3w.ent,0.145533141,44.13536023,8.758175087,0.183573487,80074.4608,617.435,12,20,321.87,-8.367,11,12.52019331,-5.898921529,42.43589744,617.435,580.139,617.1609171,234,1,1.641025641,2.230769231,3.096424879,1.593295509,788.7224049,29.28372809,20.53371794,22.53371794,18.04735027,11.88551946,15.22943639,9.282665272,12.71898436,6.247939896,9.373205498,4.341384782,6.944071184,0.06,154682644.9,33.56077002,13.5723819,8.554755203,222.3814436,222.2259254,83.25771717,16.34043675,15.53348694,87.33576417,19.75852033,20.42040041,149.2886778,22.8318516,13.34455882,321.87,103.545406,60.42586557,19.46795574,13.99747307,24.25350732,46.18209235,83.99078265,-16.74896323,-0.542919531,-11.6788535,39,12,20,20,12,22,11,-8.367,122.7014,8,8,2,-7.26
